Original_SampleID,SampleID,Run,Sex,Genotype,BrainRegion,LibraryPrepBatch
S82_10acc_24_S24,S10_NAcc,1,female,NZO,NAcc,1
S64_10cea_65_S65,S10_CeA,1,female,NZO,CeA,2
SBatch2_64_10cea_65_S72,S10_CeA_2,2,female,NZO,CeA,2_rerun
S84_10prl_120_S120,S10_PrL,1,female,NZO,PrL,3
SBatch3_84_10prl_120_S86,S10_PrL_2,2,female,NZO,PrL,3_rerun
S124_11acc_38_S38,S11_NAcc,1,female,WSB,NAcc,1
S129_11cea_88_S88,S11_CeA,1,female,WSB,CeA,2
SBatch2_129_11cea_88_S21,S11_CeA_2,2,female,WSB,CeA,2_rerun
S125_11prl_134_S134,S11_PrL,1,female,WSB,PrL,3
SBatch3_125_11prl_134_S17,S11_PrL_2,2,female,WSB,PrL,3_rerun
S63_12acc_18_S18,S12_NAcc,1,female,CAST,NAcc,1
S73_12cea_69_S69,S12_CeA,1,female,CAST,CeA,2
SBatch2_73_12cea_69_S79,S12_CeA_2,2,female,CAST,CeA,2_rerun
S76_12prl_117_S117,S12_PrL,1,female,CAST,PrL,3
SBatch3_76_12prl_117_S80,S12_PrL_2,2,female,CAST,PrL,3_rerun
S70_13acc_20_S20,S13_NAcc,1,female,AJ,NAcc,1
S77_13cea_70_S70,S13_CeA,1,female,AJ,CeA,2
SBatch2_77_13cea_70_S81,S13_CeA_2,2,female,AJ,CeA,2_rerun
S67_13prl_114_S114,S13_PrL,1,female,AJ,PrL,3
SBatch3_67_13prl_114_S74,S13_PrL_2,2,female,AJ,PrL,3_rerun
S75_14acc_22_S22,S14_NAcc,1,female,S129,NAcc,1
S80_14cea_72_S72,S14_CeA,1,female,S129,CeA,2
SBatch2_80_14cea_72_S84,S14_CeA_2,2,female,S129,CeA,2_rerun
S79_14prl_118_S118,S14_PrL,1,female,S129,PrL,3
SBatch3_79_14prl_118_S83,S14_PrL_2,2,female,S129,PrL,3_rerun
S130_15acc_39_S39,S15_NAcc,1,female,NOD,NAcc,1
S111_15cea_82_S82,S15_CeA,1,female,NOD,CeA,2
SBatch2_111_15cea_82_S9,S15_CeA_2,2,female,NOD,CeA,2_rerun
S127_15prl_135_S135,S15_PrL,1,female,NOD,PrL,3
SBatch3_127_15prl_135_S19,S15_PrL_2,2,female,NOD,PrL,3_rerun
S112_16acc_33_S33,S16_NAcc,1,female,PWK,NAcc,1
S119_16cea_83_S83,S16_CeA,1,female,PWK,CeA,2
SBatch2_119_16cea_83_S13,S16_CeA_2,2,female,PWK,CeA,2_rerun
S114_16prl_130_S130,S16_PrL,1,female,PWK,PrL,3
SBatch3_114_16prl_130_S10,S16_PrL_2,2,female,PWK,PrL,3_rerun
S61_17acc_17_S17,S17_NAcc,1,male,B6,NAcc,1
S68_17cea_67_S67,S17_CeA,1,male,B6,CeA,2
SBatch2_68_17cea_67_S75,S17_CeA_2,2,male,B6,CeA,2_rerun
S69_17prl_115_S115,S17_PrL,1,male,B6,PrL,3
SBatch3_69_17prl_115_S76,S17_PrL_2,2,male,B6,PrL,3_rerun
S121_18acc_37_S37,S18_NAcc,1,male,NZO,NAcc,1
S126_18cea_86_S86,S18_CeA,1,male,NZO,CeA,2
SBatch2_126_18cea_86_S18,S18_CeA_2,2,male,NZO,CeA,2_rerun
